to,from,x,y,cov,cost
1,1253,93.9671,42.6382,0.428714,93.501
2,1,77.1435,25.2255,0.11896,117.713
3,9328,82.5991,16.3551,0.346645,118.142
4,3,76.5957,25.0429,0.099265,128.703
5,463,82.4196,19.3199,0.488446,20.0407
6,5,73.9328,24.9266,0.0973183,30.2123
7,133,73.0996,21.5187,0.203487,37.5053
8,7,74.5528,24.2536,0.289575,40.6023
9,871,88.3855,19.0129,0.352084,21.363
10,9,74.5442,23.8178,0.226549,36.0146
11,7934,91.8229,16.4676,0.223696,54.5439
12,11,74.3721,25.4982,0.114993,74.1929
13,811,71.7933,18.2844,0.454222,25.3258
14,13,73.4136,23.8023,0.418918,31.0766
15,37,72.2984,24.4413,2.00161,38.1194
16,15,73.0624,25.0491,0.282886,39.0956
17,15,75.2975,25.5979,0.329114,41.3337
18,23,73.227,24.5058,0.368667,29.8721
19,18,73.9887,26.2567,0.0991243,31.7815
20,887,77.2934,28.3933,0.675998,47.7789
21,20,74.2816,24.8488,0.307651,52.4302
22,15,73.2808,23.3452,1.87232,39.5912
23,862,74.2699,23.7211,0.329663,28.567
24,23,74.6238,25.8428,0.126096,30.718
25,1026,71.8807,21.0904,0.0969025,27.0906
26,25,73.2269,25.5918,0.539403,31.789
27,98,81.1458,29.666,1.06694,30.4702
28,27,78.4727,26.2526,1.07951,34.8057
29,1202,73.8549,33.3814,0.690462,98.4392
30,29,77.3595,25.3697,0.0972672,107.184
31,862,90.1647,24.09,0.497886,23.6887
32,31,77.8862,24.8476,0.375923,35.9906
33,175,82.853,29.5855,0.297815,91.9144
34,33,77.0587,25.4135,0.153409,99.0543
35,7817,82.0583,24.8615,0.180638,27.4698
36,35,77.6718,26.5839,0.0965764,32.1823
37,548,75.8513,22.3744,2.0321,34.0091
38,37,78.324,25.767,0.0969706,38.2072
39,37,80.9663,15.2707,1.77516,42.7627
40,39,76.9058,24.5187,2.16785,52.8629
41,96,77.6687,25.809,0.159567,28.8954
42,41,77.0884,23.0776,0.119248,31.6878
43,8221,71.4767,20.3216,0.104288,31.9319
44,43,77.1376,23.3811,0.353688,38.3666
45,869,92.3754,6.95282,3.31469,6.40926
46,45,77.3197,24.9326,0.0985151,29.8602
47,1391,82.827,27.9108,0.900341,93.5341
48,47,78.6767,24.047,0.109094,99.2045
49,14264,65.267,35.6135,0.852098,79.2661
50,49,78.5195,24.2919,0.191291,96.6961
51,8174,62.1754,27.2809,0.909776,43.9896
52,51,76.9475,25.0615,0.271075,58.9275
53,8135,78.701,17.905,0.307929,29.5448
54,53,75.6788,23.7187,0.484332,36.0971
55,881,89.9136,10.858,3.27488,10.9998
56,55,76.1534,23.2839,0.127773,29.5403
57,23,76.709,25.1184,0.103509,31.378
58,23,76.8218,24.4172,0.18402,31.2121
59,811,77.8158,15.0194,1.12648,20.0955
60,59,76.0473,22.9079,0.105905,28.1797
61,862,87.3857,12.248,0.662339,11.5767
62,61,77.3807,24.4244,0.100135,27.3363
63,247,75.521,30.565,0.0969594,39.7665
64,63,75.9137,27.2123,0.326426,43.1421
65,669,71.3727,30.5239,0.56378,92.2867
66,65,76.4053,26.1734,0.4358,98.9391
67,811,69.9026,19.5208,0.133544,27.4879
68,67,76.481,26.3793,0.100996,36.9913
69,31,86.012,28.0914,0.0986811,29.4555
70,69,76.3657,25.152,0.0978421,39.5397
71,55,76.288,26.6049,0.109434,31.8234
